function	CV1	CV2	CV3	CV4	CV5	GF1	GF2	GF3	GF4	GF5	GF6
SUCCGLUDESUCC-RXN	0.0	0.0	0.0	1.0	0.67	0.0	0.0	16.0	0.0	0.2	2.4
SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN	1470.84	766.84	759.5	1473.84	711.68	30.0	39.0	112.0	11.5	15.4	40.8
SUCCINATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	0.0	0.0	0.0	1.0	0.67	0.0	1.0	18.0	0.0	0.2	2.4
SUCCINYLDIAMINOPIMTRANS-RXN	356.67	658.1700000000001	631.1600000000001	497.83	815.34	8.83	2.83	70.67	5.5	4.43	6.7
SUCCORNTRANSAM-RXN	0.0	0.0	0.0	1.0	0.67	0.0	0.0	0.0	0.0	0.0	2.0
SUCCSEMIALDDEHYDROG-RXN	0.0	6.0	1.0	4.0	0.67	0.0	2.0	72.5	0.0	0.8	8.6
SUCROSE-PHOSPHORYLASE-RXN	102.0	138.0	106.0	127.0	106.67	3.0	0.0	0.0	2.0	0.0	2.0
SUCROSEPHOSPHO-RXN	1233.0300000000002	2177.17	1729.02	2603.33	3032.51	1871.69	1846.47	1823.03	1878.7	1875.03	1877.54
SUGAR-PHOSPHATASE-RXN	10.0	8.0	6.0	140.0	25.01	1.0	0.0	16.0	0.0	1.2	6.4
SULFATE-ADENYLYLTRANS-RXN	1341.34	461.34	502.0	1390.84	416.18	30.0	30.0	103.0	10.0	14.4	38.3
SULFITE-REDUCT-RXN	0.0	2.0	0.0	3.0	1.34	0.0	3.0	76.0	0.0	0.4	6.8
SULFITE-REDUCTASE-FERREDOXIN-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5	0.0	0.0	0.0
SULFOCYS-RXN	1972.02	1580.43	1493.49	2239.66	1819.93	501.83	496.4	599.8499999999999	478.8	484.04	505.5100000000001
SUPEROX-DISMUT-RXN	1003.26	912.59	895.58	1163.75	1009.1800000000002	253.0	253.91000000000005	337.34	241.15	242.68000000000004	256.03
